gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
UBE2C	5.51e+01	0.53	0.22	2.49e+00	1.29e-02	1.00e+00
UBE2D1	9.91e+01	0.12	0.17	6.94e-01	4.87e-01	1.00e+00
UBE2D2	4.46e+02	0.00	0.09	5.41e-02	9.57e-01	1.00e+00
UBE2D3	1.61e+03	0.03	0.08	3.98e-01	6.91e-01	1.00e+00
UBE2D4	3.33e+01	0.14	0.19	7.51e-01	4.52e-01	1.00e+00
UBE2E1	1.05e+03	0.11	0.11	9.67e-01	3.34e-01	1.00e+00
UBE2E2	1.68e+02	0.10	0.14	7.13e-01	4.76e-01	1.00e+00
UBE2E3	2.65e+02	0.04	0.10	4.68e-01	6.39e-01	1.00e+00
UBE2F	3.00e+02	-0.04	0.09	-4.18e-01	6.76e-01	1.00e+00
UBE2G1	5.98e+02	-0.00	0.10	-3.17e-02	9.75e-01	1.00e+00
UBE2G2	8.90e+02	0.06	0.11	5.37e-01	5.91e-01	1.00e+00
UBE2H	1.44e+03	0.03	0.09	4.00e-01	6.89e-01	1.00e+00
UBE2I	4.81e+02	0.05	0.08	5.60e-01	5.75e-01	1.00e+00
UBE2J1	2.43e+03	-0.04	0.11	-3.55e-01	7.23e-01	1.00e+00
UBE2J2	1.70e+02	0.04	0.13	3.11e-01	7.56e-01	1.00e+00
UBE2K	1.54e+03	0.09	0.10	8.77e-01	3.81e-01	1.00e+00
UBE2L3	5.41e+02	-0.03	0.07	-4.82e-01	6.30e-01	1.00e+00
UBE2L5	8.15e+00	0.07	0.61	1.21e-01	9.04e-01	1.00e+00
UBE2L6	3.85e+01	0.12	0.18	6.71e-01	5.02e-01	1.00e+00
UBE2M	2.44e+02	-0.11	0.10	-1.06e+00	2.90e-01	1.00e+00
UBE2N	1.12e+03	0.09	0.10	9.02e-01	3.67e-01	1.00e+00
UBE2O	3.41e+02	0.04	0.09	4.01e-01	6.89e-01	1.00e+00
UBE2Q1	6.07e+02	-0.03	0.07	-3.76e-01	7.07e-01	1.00e+00
UBE2Q2	2.43e+02	-0.07	0.09	-8.11e-01	4.17e-01	1.00e+00
UBE2QL1	1.55e+00	1.35	0.88	1.53e+00	1.27e-01	1.00e+00
UBE2R2	1.03e+03	0.07	0.08	9.45e-01	3.45e-01	1.00e+00
UBE2S	5.82e+01	-0.07	0.23	-2.87e-01	7.74e-01	1.00e+00
UBE2T	6.28e+01	-0.25	0.16	-1.55e+00	1.22e-01	1.00e+00
UBE2V1	6.79e+02	-0.07	0.08	-8.39e-01	4.01e-01	1.00e+00
UBE2V2	4.94e+02	0.10	0.08	1.26e+00	2.07e-01	1.00e+00
UBE2W	1.76e+02	0.13	0.12	1.08e+00	2.79e-01	1.00e+00
UBE2Z	3.42e+02	-0.17	0.09	-2.02e+00	4.34e-02	1.00e+00
UBE3A	1.48e+03	0.07	0.07	1.10e+00	2.71e-01	1.00e+00
UBE3B	4.73e+02	-0.15	0.14	-1.11e+00	2.68e-01	1.00e+00
UBE3C	1.03e+03	0.02	0.08	2.31e-01	8.17e-01	1.00e+00
UBE3D	1.66e+01	0.54	0.32	1.69e+00	9.15e-02	1.00e+00
UBE4A	3.27e+02	0.11	0.10	1.18e+00	2.38e-01	1.00e+00
UBE4B	4.57e+02	-0.10	0.08	-1.25e+00	2.12e-01	1.00e+00
UBFD1	8.86e+02	-0.00	0.09	-4.44e-02	9.65e-01	1.00e+00
UBIAD1	1.10e+02	0.07	0.14	4.67e-01	6.41e-01	1.00e+00
UBL3	1.90e+02	0.24	0.11	2.17e+00	2.99e-02	1.00e+00
UBL4A	1.62e+02	0.10	0.16	5.95e-01	5.52e-01	1.00e+00
UBL5	4.40e+02	-0.13	0.10	-1.29e+00	1.96e-01	1.00e+00
UBL7	4.86e+01	-0.22	0.18	-1.19e+00	2.35e-01	1.00e+00
UBLCP1	4.13e+02	-0.03	0.08	-3.76e-01	7.07e-01	1.00e+00
UBN1	9.60e+02	-0.03	0.09	-3.30e-01	7.42e-01	1.00e+00
UBN2	3.02e+02	0.12	0.11	1.05e+00	2.92e-01	1.00e+00
UBOX5	4.62e+01	-0.03	0.18	-1.86e-01	8.53e-01	1.00e+00
UBP1	9.71e+02	0.05	0.09	6.07e-01	5.44e-01	1.00e+00
UBQLN1	9.05e+02	0.05	0.11	4.60e-01	6.45e-01	1.00e+00
UBQLN2	9.05e+01	0.19	0.13	1.45e+00	1.46e-01	1.00e+00
UBQLN4	4.14e+02	0.09	0.09	1.02e+00	3.07e-01	1.00e+00
UBR1	4.74e+02	0.11	0.11	1.03e+00	3.01e-01	1.00e+00
UBR2	5.50e+02	0.11	0.10	1.11e+00	2.66e-01	1.00e+00
UBR3	4.16e+02	0.08	0.08	9.84e-01	3.25e-01	1.00e+00
UBR4	8.32e+02	-0.07	0.15	-4.94e-01	6.21e-01	1.00e+00
UBR5	1.39e+03	-0.02	0.10	-2.18e-01	8.27e-01	1.00e+00
UBR7	5.84e+02	-0.03	0.08	-3.69e-01	7.12e-01	1.00e+00
UBTD1	6.06e+01	-0.20	0.20	-9.97e-01	3.19e-01	1.00e+00
UBTD2	5.62e+02	0.11	0.12	8.67e-01	3.86e-01	1.00e+00
UBTF	2.38e+03	-0.00	0.08	-8.74e-03	9.93e-01	1.00e+00
UBXN1	2.01e+03	-0.11	0.11	-1.02e+00	3.07e-01	1.00e+00
UBXN10	3.57e+00	0.31	0.63	4.84e-01	6.29e-01	1.00e+00
UBXN11	2.84e+01	-0.32	0.25	-1.25e+00	2.11e-01	1.00e+00
UBXN2A	2.80e+02	0.04	0.11	4.08e-01	6.83e-01	1.00e+00
UBXN2B	1.12e+02	-0.15	0.16	-9.10e-01	3.63e-01	1.00e+00
UBXN4	1.86e+03	0.00	0.06	7.96e-02	9.37e-01	1.00e+00
UBXN6	2.58e+02	0.00	0.14	3.32e-02	9.74e-01	1.00e+00
UBXN7	5.56e+02	0.12	0.11	1.09e+00	2.77e-01	1.00e+00
UBXN8	5.97e+01	-0.38	0.17	-2.24e+00	2.51e-02	1.00e+00
UCHL1	1.41e+03	0.01	0.09	1.00e-01	9.20e-01	1.00e+00
UCHL3	1.11e+02	0.04	0.14	3.15e-01	7.53e-01	1.00e+00
UCHL5	4.68e+02	-0.11	0.07	-1.53e+00	1.26e-01	1.00e+00
UCK1	1.64e+02	-0.23	0.12	-1.88e+00	6.02e-02	1.00e+00
UCK2	2.60e+02	0.02	0.09	2.31e-01	8.17e-01	1.00e+00
UCKL1	1.69e+02	0.05	0.15	3.24e-01	7.46e-01	1.00e+00
UCP1	5.76e-01	1.93	1.42	1.35e+00	1.76e-01	1.00e+00
UCP2	6.83e+00	-0.78	0.51	-1.54e+00	1.23e-01	1.00e+00
