baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCB4	14.3681821573967	-0.161087841985857	0.299865589421502	-0.537200157899497	0.59112936221345	0.999890251873749
ABCB5	1.62239441367934	-1.45051881232927	1.17340008415392	-1.23616729870542	0.21639638337294	0.999890251873749
ABCB6	66.8847048835253	0.0471871834557958	0.159914477928595	0.295077619406454	0.767934586059502	0.999890251873749
ABCB7	235.790800754388	-0.0529664950950498	0.0859434143338275	-0.616294983223655	0.537699849318009	0.999890251873749
ABCB8	43.0978383098616	0.266356325478276	0.25489660894558	1.04495829340414	0.296042245839448	0.999890251873749
ABCB9	5.99039734094164	-0.410805788445362	0.481382388081102	-0.85338765733189	0.393444363847721	0.999890251873749
ABCC1	333.235910563097	0.0522649354221483	0.0897063723905802	0.582622326924419	0.560147571867545	0.999890251873749
ABCC10	144.195002080497	-0.000591849881744819	0.146958664422836	-0.004027322132174	0.996786670535699	0.999890251873749
ABCC11	1.03152532237426	0.336254394040205	1.21435947503776	0.276898563359708	0.781857995755033	0.999890251873749
ABCC2	12.8651166718241	-0.31798405233477	0.308877147837862	-1.02948390504333	0.303252339149413	0.999890251873749
ABCC4	170.77202070992	0.176952224656378	0.192251682747897	0.9204196401673	0.357353509106396	0.999890251873749
ABCC5	306.116309416793	-0.0554258255811168	0.116241540444219	-0.476815993398799	0.633493156008972	0.999890251873749
ABCC6	3.2735895476368	0.0143516244838618	1.39473021604283	0.0102898928543906	0.991789998241179	0.999890251873749
ABCC9	26.9250101221181	0.515961459167339	0.286791713021486	1.79908078141953	0.0720059032544272	0.999890251873749
ABCD1	66.126419247982	-0.105947947360054	0.187877299540729	-0.563920961281895	0.572807923927863	0.999890251873749
ABCD3	356.500500534906	0.100107506993268	0.0869437410060612	1.15140556220475	0.249565426616953	0.999890251873749
ABCD4	378.983487104704	-0.0566325622141918	0.10015871446233	-0.56542820580521	0.571782544154005	0.999890251873749
ABCE1	1638.22453532789	0.0228662864196411	0.0696933808868646	0.328098395122496	0.742837267399663	0.999890251873749
ABCF1	1502.6188067466	-0.0637382436920028	0.111045683716926	-0.573982180653524	0.565979859661728	0.999890251873749
ABCF2	217.159101231921	-0.0292768346351078	0.106387646717906	-0.275190170459708	0.783170138380179	0.999890251873749
ABCF2-H2BE1	246.066383567008	-0.180010458712761	0.136728066792513	-1.31655820882723	0.187986754872938	0.999890251873749
ABCF3	373.191477880622	-0.0188161601933096	0.0895651837866313	-0.210083420786975	0.833602565036411	0.999890251873749
ABCG1	51.8463143152903	0.112953770933713	0.221537196584881	0.509863682825993	0.610146966712473	0.999890251873749
ABCG2	137.358668280426	-0.0546848438217225	0.166836789768774	-0.327774490851282	0.743082176102853	0.999890251873749
ABCG4	1.12110572649706	-1.38775953864028	1.13852286335032	-1.21891231464297	0.2228774751443	0.999890251873749
ABCG8	2.51239196173733	-0.522260310642997	0.8413803270657	-0.620718471591048	0.534784873668564	0.999890251873749
ABHD1	0.5317151804853	2.66379325187771	2.00943140670783	1.32564527606442	0.184957221744357	0.999890251873749
ABHD10	264.254372223943	0.107655113147677	0.106068939477854	1.01495417676118	0.310127671165847	0.999890251873749
ABHD11	13.7022815096818	0.0937909254406249	0.339228619173068	0.27648293846568	0.782177162255396	0.999890251873749
ABHD12	206.850308124754	-0.0422393051394194	0.128601420332484	-0.328451311270237	0.742570452024612	0.999890251873749
ABHD13	310.441316791963	0.0159152689353279	0.101388511049626	0.156973100507788	0.875266047942377	0.999890251873749
ABHD14A	7.80669846064221	-0.0380738537710529	0.453346957080951	-0.0839839182250303	0.933069217989003	0.999890251873749
ABHD14A-ACY1	4.31068193946794	2.58998513917296	2.55572941406832	1.01340350230978	0.310867467212915	0.999890251873749
ABHD14B	43.5928360282457	0.164315109951523	0.201418803251162	0.815788334054532	0.414621206610398	0.999890251873749
ABHD15	36.4653913229578	-0.0378344120702227	0.22499353549619	-0.168157773896856	0.866459159385877	0.999890251873749
ABHD16A	243.186798231557	-0.0352954087294259	0.0971825199559208	-0.363186802991267	0.716465345238763	0.999890251873749
ABHD16B	4.45929571528861	0.0968335698792359	0.610378498027657	0.158645119695629	0.873948478554017	0.999890251873749
ABHD17A	231.908224213483	-0.0653824071266979	0.18982180780347	-0.344440967469822	0.730514683951465	0.999890251873749
ABHD17B	143.647421460646	0.0720013620804236	0.113781630260862	0.63280304487947	0.526862268135993	0.999890251873749
ABHD17C	146.911970750657	0.108790761761018	0.170350705900947	0.638628182875132	0.523064842687945	0.999890251873749
ABHD18	107.452741481593	-0.215645326338793	0.159235254347381	-1.35425617412806	0.175654662959096	0.999890251873749
ABHD2	383.149414249365	0.0336731959554769	0.0952195606805324	0.353637379912438	0.723610657145231	0.999890251873749
ABHD3	26.103705874967	0.0418572293363438	0.279565119051005	0.149722645938198	0.880983440698036	0.999890251873749
ABHD4	106.978375212116	-0.213293804719514	0.160747503410819	-1.32688720007305	0.184545999131512	0.999890251873749
ABHD5	118.194531847731	0.0410113345933225	0.12443505428277	0.329580236290388	0.741717158105135	0.999890251873749
ABHD6	107.408274230141	0.0630821925594958	0.142712982695117	0.442021401054035	0.658473719529032	0.999890251873749
ABHD8	9.85175783650967	0.080168415260865	0.416814389836988	0.192336006662865	0.847479015646895	0.999890251873749
ABI1	697.822600073561	0.000725191006091982	0.0676018941466685	0.0107273770246528	0.991440955652079	0.999890251873749
ABI2	1184.10022275317	0.0704564491758532	0.0876030098114518	0.80426973145668	0.421241214588685	0.999890251873749
ABI3	93.072135889623	-0.00708926078228282	0.183886836777857	-0.0385523015486255	0.969247331845271	0.999890251873749
ABI3BP	0.6287501268802	0.778012615124356	1.47269448402165	0.528291932621186	0.597296730070069	0.999890251873749
ABITRAM	62.8664819535946	-0.131416686407687	0.165123219710929	-0.795870421117935	0.426107355128379	0.999890251873749
