gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
SLC4A7	4.50e+02	0.06	0.11	5.61e-01	5.75e-01	1.00e+00
SLC4A8	6.12e+01	0.06	0.19	2.99e-01	7.65e-01	1.00e+00
SLC50A1	8.65e+02	0.15	0.12	1.24e+00	2.15e-01	1.00e+00
SLC51A	4.36e+00	0.30	0.56	5.39e-01	5.90e-01	1.00e+00
SLC5A3	6.12e+02	0.07	0.14	4.90e-01	6.24e-01	1.00e+00
SLC5A5	1.70e+00	0.12	0.99	1.19e-01	9.05e-01	1.00e+00
SLC66A3	3.28e+01	0.04	0.20	2.00e-01	8.41e-01	1.00e+00
SLC6A11	1.53e+00	1.69	0.97	1.73e+00	8.37e-02	1.00e+00
SLC6A15	1.82e+01	0.05	0.32	1.71e-01	8.65e-01	1.00e+00
SLC6A17	6.71e+00	0.38	0.54	7.08e-01	4.79e-01	1.00e+00
SLC6A20	8.47e+00	0.32	0.39	8.08e-01	4.19e-01	1.00e+00
SLC6A9	2.81e+00	0.17	0.73	2.30e-01	8.18e-01	1.00e+00
SLC7A1	6.35e+02	0.18	0.13	1.41e+00	1.58e-01	1.00e+00
SLC7A11	3.76e+02	0.07	0.09	7.04e-01	4.82e-01	1.00e+00
SLC7A14	2.53e+00	0.50	0.71	7.02e-01	4.82e-01	1.00e+00
SLC7A2	2.09e+02	0.01	0.13	5.02e-02	9.60e-01	1.00e+00
SLC7A6	1.32e+02	0.12	0.16	7.52e-01	4.52e-01	1.00e+00
SLC8A1	1.26e+01	0.09	0.40	2.20e-01	8.26e-01	1.00e+00
SLC8A3	2.72e+01	0.48	0.23	2.10e+00	3.57e-02	1.00e+00
SLC9A1	2.49e+02	0.06	0.11	5.57e-01	5.78e-01	1.00e+00
SLC9A2	2.43e+00	2.03	0.86	2.37e+00	1.80e-02	1.00e+00
SLC9A3	3.61e+01	0.35	0.24	1.44e+00	1.50e-01	1.00e+00
SLC9A3R2	7.14e+02	0.07	0.11	6.11e-01	5.41e-01	1.00e+00
SLC9A4	1.66e+00	0.23	0.93	2.47e-01	8.05e-01	1.00e+00
SLC9A5	6.12e+00	0.05	0.55	9.12e-02	9.27e-01	1.00e+00
SLC9A7	9.10e+01	0.28	0.14	1.99e+00	4.65e-02	1.00e+00
SLCO2B1	1.56e+00	0.51	1.00	5.11e-01	6.09e-01	1.00e+00
