gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
MYO5C	4.10e+01	-0.06	0.26	-2.41e-01	8.10e-01	1.00e+00
MYO6	1.45e+03	-0.11	0.08	-1.31e+00	1.90e-01	1.00e+00
MYO7A	1.55e+02	-0.01	0.15	-5.50e-02	9.56e-01	1.00e+00
MYO9B	7.11e+02	-0.05	0.09	-5.90e-01	5.55e-01	1.00e+00
MYOCD	1.95e+00	-0.87	1.10	-7.85e-01	4.33e-01	1.00e+00
MYOF	8.31e+02	-0.01	0.10	-9.91e-02	9.21e-01	1.00e+00
MYOM2	9.48e+00	-0.06	0.38	-1.68e-01	8.67e-01	1.00e+00
MYOZ1	6.53e-01	-0.91	1.73	-5.24e-01	6.00e-01	1.00e+00
MYOZ2	1.05e+01	-0.11	0.41	-2.74e-01	7.84e-01	1.00e+00
MYZAP	2.90e+02	-0.14	0.16	-8.83e-01	3.77e-01	1.00e+00
MZT2B	6.49e+01	-0.08	0.17	-4.87e-01	6.26e-01	1.00e+00
N4BP1	2.02e+02	-0.02	0.09	-2.54e-01	8.00e-01	1.00e+00
N4BP2	6.93e+02	-0.02	0.10	-2.59e-01	7.96e-01	1.00e+00
N4BP2L2	4.14e+02	-0.02	0.09	-2.00e-01	8.41e-01	1.00e+00
NAA20	4.78e+02	-0.05	0.06	-8.08e-01	4.19e-01	1.00e+00
NAA38	9.72e+01	-0.07	0.18	-3.91e-01	6.96e-01	1.00e+00
NAA60	1.35e+02	-0.03	0.14	-2.10e-01	8.34e-01	1.00e+00
NAAA	2.68e+01	-0.36	0.22	-1.67e+00	9.53e-02	1.00e+00
NAALAD2	2.43e+02	-0.03	0.12	-2.93e-01	7.70e-01	1.00e+00
NAALADL2	1.59e+01	-0.12	0.33	-3.69e-01	7.12e-01	1.00e+00
NAB2	7.70e+01	-0.34	0.18	-1.88e+00	5.98e-02	1.00e+00
NACAD	2.04e+01	-0.06	0.26	-2.25e-01	8.22e-01	1.00e+00
NACC1	2.99e+02	-0.05	0.08	-5.81e-01	5.61e-01	1.00e+00
NADSYN1	1.48e+02	-0.02	0.12	-1.65e-01	8.69e-01	1.00e+00
NAGLU	7.53e+01	-0.13	0.20	-6.67e-01	5.05e-01	1.00e+00
NAGPA	5.88e+01	-0.04	0.18	-2.36e-01	8.13e-01	1.00e+00
NALF2	6.38e+00	-0.19	0.60	-3.24e-01	7.46e-01	1.00e+00
NAMPT	1.24e+03	-0.05	0.07	-6.68e-01	5.04e-01	1.00e+00
NANOGNB	5.84e-01	-0.63	1.63	-3.85e-01	7.00e-01	1.00e+00
NANOS1	3.59e+01	-0.03	0.20	-1.39e-01	8.90e-01	1.00e+00
NANOS3	5.80e-01	-0.05	1.62	-3.02e-02	9.76e-01	1.00e+00
NAP1L2	1.91e+02	-0.06	0.12	-5.38e-01	5.91e-01	1.00e+00
NAP1L4	2.22e+03	-0.03	0.06	-5.30e-01	5.96e-01	1.00e+00
NAP1L5	3.77e+01	-0.08	0.19	-4.18e-01	6.76e-01	1.00e+00
NAPA	2.42e+02	-0.03	0.17	-1.68e-01	8.66e-01	1.00e+00
NAPG	2.84e+02	-0.04	0.10	-3.63e-01	7.17e-01	1.00e+00
NARF	1.67e+02	-0.06	0.14	-4.19e-01	6.75e-01	1.00e+00
NARS1	1.82e+03	-0.04	0.06	-5.95e-01	5.52e-01	1.00e+00
NARS2	1.36e+02	-0.09	0.12	-7.13e-01	4.76e-01	1.00e+00
NASP	2.63e+03	-0.05	0.09	-5.08e-01	6.12e-01	1.00e+00
NAT10	4.47e+02	-0.03	0.11	-2.27e-01	8.20e-01	1.00e+00
NAT14	3.40e+01	-0.32	0.24	-1.33e+00	1.83e-01	1.00e+00
NAT8	1.26e+00	-1.98	1.23	-1.60e+00	1.09e-01	1.00e+00
NAT8L	1.60e+01	-0.23	0.30	-7.69e-01	4.42e-01	1.00e+00
NAT9	1.12e+02	-0.21	0.14	-1.46e+00	1.44e-01	1.00e+00
NAV3	3.11e+01	-0.06	0.27	-2.06e-01	8.37e-01	1.00e+00
NAXD	1.77e+02	-0.01	0.13	-9.17e-02	9.27e-01	1.00e+00
NAXE	2.45e+02	-0.01	0.13	-8.05e-02	9.36e-01	1.00e+00
NBAS	2.86e+02	-0.05	0.12	-4.46e-01	6.55e-01	1.00e+00
NBPF1	2.78e+02	-0.18	0.13	-1.42e+00	1.56e-01	1.00e+00
NBPF10	6.60e+01	-0.81	0.65	-1.25e+00	2.13e-01	1.00e+00
NBPF11	1.67e+02	-0.09	0.17	-5.46e-01	5.85e-01	1.00e+00
NBPF12	1.17e+02	-0.34	0.18	-1.86e+00	6.35e-02	1.00e+00
NBPF26	1.16e+02	-0.09	0.17	-5.40e-01	5.89e-01	1.00e+00
NBPF4	3.10e+00	-2.01	0.91	-2.20e+00	2.76e-02	1.00e+00
NBPF8	9.62e+01	-0.05	0.22	-2.22e-01	8.24e-01	1.00e+00
NCAM2	7.15e+01	-0.09	0.18	-5.04e-01	6.14e-01	1.00e+00
NCAPD3	2.35e+02	-0.07	0.11	-6.29e-01	5.29e-01	1.00e+00
NCAPG2	3.92e+02	-0.06	0.10	-5.63e-01	5.73e-01	1.00e+00
NCAPH	6.35e+01	-0.07	0.16	-4.25e-01	6.71e-01	1.00e+00
NCAPH2	2.14e+02	-0.03	0.19	-1.53e-01	8.78e-01	1.00e+00
NCBP2AS2	7.24e+01	-0.08	0.20	-4.33e-01	6.65e-01	1.00e+00
NCK2	5.83e+02	-0.04	0.09	-4.41e-01	6.59e-01	1.00e+00
NCKAP1	1.63e+03	-0.03	0.06	-5.09e-01	6.11e-01	1.00e+00
NCKIPSD	3.44e+01	-0.26	0.20	-1.34e+00	1.81e-01	1.00e+00
NCMAP	3.01e+00	-0.52	0.74	-6.97e-01	4.86e-01	1.00e+00
NCOA4	1.60e+03	-0.05	0.05	-8.94e-01	3.71e-01	1.00e+00
NCOA5	5.21e+02	-0.04	0.09	-4.92e-01	6.23e-01	1.00e+00
NCOA6	3.77e+02	-0.03	0.13	-2.53e-01	8.00e-01	1.00e+00
NCOR1	1.34e+03	-0.02	0.09	-1.77e-01	8.60e-01	1.00e+00
NCOR2	7.63e+02	-0.01	0.14	-3.72e-02	9.70e-01	1.00e+00
NCR3LG1	2.45e+01	-0.38	0.24	-1.60e+00	1.09e-01	1.00e+00
NCSTN	8.77e+02	-0.09	0.12	-7.42e-01	4.58e-01	1.00e+00
ND1	1.72e+03	-0.04	0.20	-2.23e-01	8.23e-01	1.00e+00
ND2	3.66e+03	-0.06	0.19	-3.02e-01	7.63e-01	1.00e+00
ND4L	4.40e+02	-0.04	0.27	-1.32e-01	8.95e-01	1.00e+00
NDC80	9.76e+01	-0.19	0.15	-1.21e+00	2.25e-01	1.00e+00
NDE1	9.04e+01	-0.12	0.15	-7.79e-01	4.36e-01	1.00e+00
NDNF	3.47e+00	-0.56	0.76	-7.40e-01	4.59e-01	1.00e+00
NDRG2	7.99e+01	-0.27	0.21	-1.30e+00	1.95e-01	1.00e+00
NDRG4	1.21e+02	-0.09	0.15	-6.08e-01	5.43e-01	1.00e+00
NDST1	1.46e+03	-0.01	0.06	-1.75e-01	8.61e-01	1.00e+00
NDUFA1	4.48e+02	-0.12	0.13	-9.14e-01	3.61e-01	1.00e+00
NDUFA10	3.45e+02	-0.01	0.10	-5.18e-02	9.59e-01	1.00e+00
NDUFA11	1.26e+02	-0.02	0.23	-7.68e-02	9.39e-01	1.00e+00
NDUFA2	7.08e+01	-0.09	0.17	-5.02e-01	6.15e-01	1.00e+00
NDUFA4	2.34e+02	-0.03	0.10	-3.28e-01	7.43e-01	1.00e+00
NDUFA5	7.68e+02	-0.05	0.07	-7.24e-01	4.69e-01	1.00e+00
NDUFA6	2.87e+02	-0.15	0.09	-1.59e+00	1.12e-01	1.00e+00
NDUFA7	4.07e+01	-0.20	0.23	-8.49e-01	3.96e-01	1.00e+00
NDUFA8	1.28e+02	-0.05	0.13	-4.01e-01	6.89e-01	1.00e+00
NDUFA9	2.68e+02	-0.07	0.10	-7.24e-01	4.69e-01	1.00e+00
NDUFAB1	1.82e+02	-0.21	0.14	-1.46e+00	1.45e-01	1.00e+00
NDUFAF1	2.00e+02	-0.10	0.12	-8.96e-01	3.70e-01	1.00e+00
NDUFAF6	8.93e+01	-0.21	0.14	-1.52e+00	1.29e-01	1.00e+00
NDUFAF8	2.47e+02	-0.01	0.17	-4.00e-02	9.68e-01	1.00e+00
NDUFB1	1.44e+02	-0.05	0.15	-3.00e-01	7.64e-01	1.00e+00
NDUFB10	4.17e+02	-0.20	0.11	-1.76e+00	7.78e-02	1.00e+00
NDUFB11	2.69e+02	-0.13	0.16	-7.83e-01	4.33e-01	1.00e+00
NDUFB2	2.74e+02	-0.05	0.11	-4.24e-01	6.71e-01	1.00e+00
NDUFB3	3.25e+02	-0.08	0.12	-6.98e-01	4.85e-01	1.00e+00
NDUFB4	6.54e+01	-0.31	0.15	-1.99e+00	4.70e-02	1.00e+00
NDUFB6	1.60e+02	-0.02	0.12	-1.53e-01	8.78e-01	1.00e+00
NDUFB7	1.75e+02	-0.10	0.14	-7.04e-01	4.82e-01	1.00e+00
NDUFB8	9.73e+02	-0.09	0.10	-8.55e-01	3.92e-01	1.00e+00
NDUFC1	2.69e+02	-0.04	0.23	-1.72e-01	8.64e-01	1.00e+00
NDUFC2-KCTD14	4.38e+02	-0.09	0.60	-1.53e-01	8.78e-01	1.00e+00
NDUFS1	1.30e+03	-0.02	0.06	-3.58e-01	7.21e-01	1.00e+00
NDUFS2	8.14e+02	-0.04	0.09	-4.14e-01	6.79e-01	1.00e+00
NDUFS3	1.93e+02	-0.16	0.13	-1.29e+00	1.96e-01	1.00e+00
NDUFS4	3.55e+02	-0.07	0.10	-6.75e-01	5.00e-01	1.00e+00
NDUFS5	9.07e+02	-0.02	0.12	-2.14e-01	8.31e-01	1.00e+00
NDUFS6	8.68e+02	-0.16	0.11	-1.45e+00	1.46e-01	1.00e+00
NDUFS8	1.04e+02	-0.14	0.21	-6.51e-01	5.15e-01	1.00e+00
NDUFV1	3.91e+02	-0.07	0.12	-6.17e-01	5.37e-01	1.00e+00
NDUFV2	5.24e+02	-0.09	0.11	-7.66e-01	4.44e-01	1.00e+00
NDUFV3	3.31e+02	-0.04	0.12	-2.97e-01	7.66e-01	1.00e+00
NEB	3.95e+00	-0.07	0.63	-1.09e-01	9.13e-01	1.00e+00
NECAB3	1.78e+01	-0.17	0.33	-5.22e-01	6.02e-01	1.00e+00
NECAP1	1.47e+02	-0.10	0.12	-8.19e-01	4.13e-01	1.00e+00
NECAP2	1.10e+03	-0.02	0.08	-2.22e-01	8.24e-01	1.00e+00
NECTIN2	8.94e+02	-0.10	0.14	-7.14e-01	4.75e-01	1.00e+00
NEDD1	5.92e+02	-0.02	0.06	-2.89e-01	7.73e-01	1.00e+00
NEDD4L	1.49e+02	-0.02	0.13	-1.73e-01	8.62e-01	1.00e+00
NEDD8	9.78e+02	-0.14	0.12	-1.13e+00	2.58e-01	1.00e+00
NEDD8-MDP1	7.74e+01	-0.12	0.45	-2.65e-01	7.91e-01	1.00e+00
NEFH	1.73e+02	-0.06	0.11	-5.12e-01	6.09e-01	1.00e+00
NEFL	1.52e+01	-0.31	0.36	-8.69e-01	3.85e-01	1.00e+00
NEFM	4.50e+01	-0.12	0.42	-2.82e-01	7.78e-01	1.00e+00
NEGR1	6.74e+01	-0.17	0.19	-8.85e-01	3.76e-01	1.00e+00
NEIL3	2.78e+01	-0.11	0.23	-4.91e-01	6.23e-01	1.00e+00
NEK11	4.19e+01	-0.39	0.16	-2.39e+00	1.67e-02	1.00e+00
NEK2	5.75e+01	-0.25	0.17	-1.47e+00	1.42e-01	1.00e+00
NEK3	3.41e+02	-0.05	0.09	-5.45e-01	5.86e-01	1.00e+00
NEK6	3.68e+02	-0.03	0.11	-2.48e-01	8.04e-01	1.00e+00
NELFB	2.73e+02	-0.08	0.11	-7.54e-01	4.51e-01	1.00e+00
NELFCD	2.39e+02	-0.09	0.09	-9.82e-01	3.26e-01	1.00e+00
NELFE	2.76e+02	-0.07	0.11	-6.19e-01	5.36e-01	1.00e+00
NENF	4.28e+01	-0.03	0.22	-1.30e-01	8.97e-01	1.00e+00
NES	6.31e+03	-0.04	0.12	-3.01e-01	7.63e-01	1.00e+00
NEU3	8.32e+01	-0.06	0.17	-3.62e-01	7.18e-01	1.00e+00
NEURL1	1.49e+00	-0.31	1.00	-3.11e-01	7.56e-01	1.00e+00
NEURL1B	6.59e+00	-0.31	0.58	-5.26e-01	5.99e-01	1.00e+00
NEXMIF	5.59e+00	-0.25	0.54	-4.68e-01	6.40e-01	1.00e+00
NEXN	4.32e+02	-0.04	0.10	-4.30e-01	6.68e-01	1.00e+00
NFASC	1.72e+00	-0.21	1.33	-1.60e-01	8.73e-01	1.00e+00
NFATC3	3.22e+02	-0.02	0.11	-2.12e-01	8.32e-01	1.00e+00
NFE2L2	2.95e+02	-0.06	0.09	-6.69e-01	5.04e-01	1.00e+00
NFIC	5.02e+01	-0.11	0.21	-5.14e-01	6.07e-01	1.00e+00
NFIL3	8.04e+01	-0.10	0.17	-5.69e-01	5.69e-01	1.00e+00
NFKB1	3.26e+02	-0.03	0.10	-3.53e-01	7.24e-01	1.00e+00
NFKBIB	7.14e+01	-0.09	0.18	-5.21e-01	6.02e-01	1.00e+00
NFKBIL1	6.81e+01	-0.44	0.18	-2.51e+00	1.21e-02	1.00e+00
NFRKB	1.52e+02	-0.02	0.12	-2.09e-01	8.34e-01	1.00e+00
NFS1	5.65e+01	-0.13	0.18	-7.08e-01	4.79e-01	1.00e+00
NFX1	2.95e+02	-0.06	0.10	-6.42e-01	5.21e-01	1.00e+00
NFXL1	1.14e+02	-0.13	0.11	-1.19e+00	2.35e-01	1.00e+00
NFYB	4.09e+02	-0.01	0.09	-9.29e-02	9.26e-01	1.00e+00
NGDN	3.18e+02	-0.10	0.11	-8.68e-01	3.86e-01	1.00e+00
NGEF	1.42e+00	-1.36	1.13	-1.20e+00	2.29e-01	1.00e+00
NGRN	7.28e+02	-0.13	0.09	-1.47e+00	1.41e-01	1.00e+00
NHLRC1	6.56e+00	-1.49	0.54	-2.77e+00	5.55e-03	1.00e+00
NHP2	2.97e+02	-0.23	0.11	-2.01e+00	4.49e-02	1.00e+00
NICN1	6.82e+01	-0.20	0.14	-1.42e+00	1.55e-01	1.00e+00
NID1	5.98e+03	-0.05	0.06	-9.40e-01	3.47e-01	1.00e+00
NID2	2.58e+02	-0.08	0.10	-8.26e-01	4.09e-01	1.00e+00
NIM1K	4.22e-01	-0.36	2.01	-1.80e-01	8.57e-01	1.00e+00
NIN	1.33e+03	-0.02	0.15	-1.34e-01	8.93e-01	1.00e+00
NINL	3.69e+02	-0.08	0.13	-5.63e-01	5.73e-01	1.00e+00
NIPA2	5.67e+02	-0.07	0.09	-8.05e-01	4.21e-01	1.00e+00
NIPAL2	9.14e+01	-0.02	0.14	-1.15e-01	9.08e-01	1.00e+00
NIPAL3	9.14e+01	-0.29	0.15	-1.93e+00	5.38e-02	1.00e+00
NIPAL4	4.86e-01	-1.76	1.54	-1.14e+00	2.53e-01	1.00e+00
NISCH	3.92e+02	-0.08	0.11	-7.41e-01	4.59e-01	1.00e+00
NIT1	3.62e+01	-0.16	0.22	-7.51e-01	4.53e-01	1.00e+00
NKAP	2.21e+02	-0.06	0.11	-5.09e-01	6.11e-01	1.00e+00
NKD1	1.36e+01	-0.42	0.46	-9.10e-01	3.63e-01	1.00e+00
NKIRAS1	1.30e+02	-0.05	0.15	-3.74e-01	7.08e-01	1.00e+00
NKIRAS2	4.32e+02	-0.08	0.11	-7.59e-01	4.48e-01	1.00e+00
NKX3-1	4.43e+00	-0.46	0.63	-7.34e-01	4.63e-01	1.00e+00
NLGN1	7.34e+01	-0.10	0.15	-6.69e-01	5.04e-01	1.00e+00
NLGN2	7.98e+01	-0.03	0.18	-1.81e-01	8.57e-01	1.00e+00
NLRP1	9.20e+01	-0.26	0.16	-1.62e+00	1.05e-01	1.00e+00
NLRP11	8.70e-01	-0.75	1.33	-5.67e-01	5.71e-01	1.00e+00
NLRP12	2.58e+00	-0.10	0.72	-1.40e-01	8.89e-01	1.00e+00
NLRP14	1.76e+00	-2.48	1.10	-2.25e+00	2.43e-02	1.00e+00
NLRP3	4.32e+00	-0.23	0.59	-3.91e-01	6.95e-01	1.00e+00
NMB	1.81e+00	-0.36	1.23	-2.89e-01	7.72e-01	1.00e+00
NMD3	6.07e+02	-0.05	0.09	-5.97e-01	5.51e-01	1.00e+00
NME1	1.47e+02	-0.14	0.17	-8.58e-01	3.91e-01	1.00e+00
NME2	4.05e+02	-0.07	0.15	-5.02e-01	6.16e-01	1.00e+00
NME4	2.41e+02	-0.11	0.11	-9.85e-01	3.25e-01	1.00e+00
