	F16	F17	F18	F22	F23	F24
DDX46	1493.74585475859	1431.02270030587	1517.35221142661	1784.4964656075	1665.10506194409	1511.51910594109
DDX47	1873.01330192744	1541.28377000633	1598.47973859455	1603.65640444518	1437.81466957634	1425.89744037741
DDX49	2755.26645443252	2097.33153010861	2259.08960267629	2229.32144363896	2418.00448666226	2360.10610821088
DDX5	15975.8806489252	15027.5167575617	14764.3184332762	14970.2312700119	13269.091343719	13745.244410392
DDX50	1130.70375292317	886.83096920364	995.818108204188	1005.01344335612	1009.61580538353	963.879542038711
DDX51	457.351921585964	387.692148301592	346.797890860724	356.483568842967	323.685871273714	307.729352471462
DDX52	1390.309278258	1851.9117298076	1349.74808936539	1753.31714471745	1632.63500589155	1732.77905358586
DDX54	3552.3365439371	2616.62560031074	3083.73754366901	3785.16955605272	3807.1140721598	3819.06537984555
DDX55	464.450510169338	318.927180101309	469.826448543963	544.598804879634	475.889259019975	434.890241922479
DDX56	3011.82972751732	2554.97424951049	2599.64691452409	2451.73393265469	2691.97058460553	2907.74567211326
DDX58	1824.33726592716	2458.94041461009	2183.31114323371	1626.52123976456	1397.22709951067	1636.13677760309
DDX59	396.506876585614	430.373852701767	405.637635839665	469.768434743501	448.492649225648	398.437453613188
DDX6	5538.92726319853	9061.5629647372	7214.10933893311	7908.11508841438	7955.16373287122	6475.0324908458
DDX60	497.915284919531	352.124061301446	320.052552233933	119.520730078546	133.938981216709	52.5598343064205
DDX60L	361.013933668743	495.582012202034	392.264966526269	292.046305670185	253.672312910434	222.955426170784
DEAF1	7566.08134579352	6406.9980716263	7974.56846722154	5103.01551900573	6123.64963365788	5440.79058997753
DECR1	2578.8158239315	2027.38095900832	2142.30162400596	1262.76249604724	1228.78868373814	1361.46925638889
DECR2	603.380029586804	430.373852701767	395.831011676508	379.348404162341	438.34575670923	430.651545607445
DEDD	2556.50597409804	2671.16333371097	2489.09951486669	1719.01989173839	1809.19093567722	1845.52837556576
DEDD2	1848.6752839273	1320.76163060542	1774.10746224381	1856.20890365463	2020.2463000187	2119.34815751696
DEF6	79.098558500455	42.6817044001752	20.5047596138732	16.6289711413629	6.08813550985042	11.868349682095
DEF8	3268.39300060213	3274.63520981344	3387.74289272687	3132.48243875423	3663.02819842667	3266.33938036513
DEGS1	10884.1644664793	11071.1598802454	9792.35998255577	10216.4241449748	9243.81908245622	9528.58931619623
DEK	2011.94282134491	1649.17363390677	1901.59357636484	1761.63163028813	1375.9186252262	1641.22321318113
DEM1	378.253363085509	352.124061301446	314.703484508575	404.291860874385	415.00790392147	386.569103931093
DENND1A	1361.9149239245	1974.0288285081	1668.0176190242	1570.39846216246	1674.23726520887	1720.91070390377
DENND1B	94.3098197505425	156.499582800642	123.028557683239	135.110390523573	143.071184481485	94.9467974567596
DENND1C	10.1408408333917	2.37120580000973	5.34906772535821	2.07862139267036	0	9.3251318930746
