gene_id	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
FAM127B	2691	5173	4750	4359.19	3676.58	3898.96	4325	1795	2146	3246.58	2165	2483.92
FAM127C	1008	2178.32	1285.98	2170.82	1559.99	2264.16	3150	823	1559.22	2160.95	1658.97	2036.97
FAM129A	56	88	27	82.3	128.01	148	189.07	20	207.99	60	215	105
FAM129B	19706.59	28588.29	22532.3	28312.58	21347.92	26676.61	41956.85	23175.21	40188.2	35954.27	42299.78	52087.28
FAM129C	0	0	0	4	0	0	8	0	33	0	0	0
FAM131A	458	772.2	384	747	900.16	705	395.99	530	292	506.21	300	342
FAM131B	31	141	122	114	88	61	140	132	76	90	147	102
FAM131C	0	0	0	16	0	0	16	0	0	6	0	2
FAM132A	8	0	0	0	0	0	0	4.96	10	12	0	0
FAM133A	0	0	0	0	2	0	0	0	0	0	0	0
FAM133B	294.64	447	189	314	259	351.99	430	311.87	473.23	303	373	291
FAM134A	4232.01	6770.13	4381.47	6569.99	7000.41	7427.56	8404.41	6363.89	4910.76	7553.13	6911.84	8115.59
FAM134B	263	420.63	210	276	307	304	246.07	10	193.82	117	298	174.05
FAM134C	3266.23	2538.42	3014	2510.53	1613.98	1998.61	3336.17	1700.17	2249	1843	1392.01	2115.8
FAM135A	321	305	50	255	252	349	628	394	817.01	293	565.73	606
FAM135B	0	0	0	0	0	0	0	0	0	0	0	0
FAM136A	2015.24	1838	1811	1754.93	1666	1931.47	1169	1045	1025	1445	1331	1569
FAM13A	0	109	16	44	141	186	81	0	41	42	23	34
FAM13B	231	873.99	451	712	619.98	835	1318	709	1619.35	607	1021	1022
FAM13C	238.17	365.99	39.44	267.23	376.56	442.29	158.1	0	82.65	19.54	55.29	5.35
FAM149A	36	38	71	61	35	47	30	10	40	37	51	15.96
FAM149B1	483	679.99	604	530.77	516	664	597.02	342	468.8	574	475.01	711.47
FAM150A	0	0	0	0	30	14	0	0	0	0	0	0
FAM150B	0	0	0	8	4	6	6	0	13	14	1	0
FAM151A	0	8.29	0	17.2	0	21.48	0	0	0	0	0	2.96
FAM151B	44	20	59.01	21.99	33	39	23	24	32	20	38	17
FAM153A	0	0	0	0	0	0	0	0	0	0	0	0
FAM153B	6.02	0.91	9.85	21.71	10	2.02	32.95	0	38.2	14.96	9.22	3.16
FAM154A	0	0	0	0	0	0	0	0	0	0	0	0
FAM154B	0	3	0	8	0	6	11	0	0	10	22	0
FAM155A	331	719.58	321.02	406	528	476	513	62	530.33	132	393	326.72
FAM155B	18	38	12	24	6	20	77	42	55	68	14	49
FAM156A	270	358	290	295.11	307	214.46	274	73	570.31	222	118	220
FAM156B	0	0	0	16.89	0	74.54	0	0	0	0	0	0
FAM157A	0	9	0	0	0	0	1.83	0	33.22	0	0	0
FAM157B	0	0	0	0	2	0	3	0	1.78	0	0	0
FAM158A	1562	698.89	714.02	763	565	688.89	540	143	240	463	535	526
FAM159A	0	0	40	0	0	0	0	0	0	0	0	0
FAM159B	0	6	0	0	26	8	0	0	0	0	0	0
FAM160A1	0	0	0	0	0	0	5	0	0	0	12	0
FAM160A2	666	772	353	695	608	687	1055	892	1321	1000	1059.99	1586
FAM160B1	788	1559	1004	1566	1277	1895.92	2286.74	1382	2322	1493.22	1976.4	2043
FAM160B2	1545	1896	1920	2153	1676	1708	2119	380	1982	1247	872	1075
FAM161A	62.88	139.29	8.56	147.34	67.62	68.89	84.53	45.78	140.97	73.87	29.04	74.81
FAM161B	76	148	83	171	136	139.99	153.46	100.24	244.12	103.01	79.28	123.7
FAM162A	1193	760	1067	801	974	864.41	619	217	190	534	415	576
FAM162B	565	818.01	546	597	626	650	336.3	341	96	182	214	261
FAM163A	42	12	14	10	12.02	8	0	0	0	0	0	0
FAM163B	0	0	0	0	0	0	0	0	0	0	0	0
FAM165B	721.76	445.19	583	555.96	581	528.18	236.02	191.82	143.8	264	277	380.07
FAM166A	0	0	10	7	0	0	0	0	1	0	0	0
