	baseMean	log2FoldChange	lfcSE	pvalue	padj
USP39	2703.009917844	-0.203316490029933	0.202369853493407	0.229054693776124	0.423518777826736
USP4	913.976269822227	-0.0427647848457922	0.218136585736182	0.807702240200815	0.886684611125467
USP40	834.983301390485	-0.161505502135463	0.239131834510556	0.374384138283426	0.565550931802139
USP42	396.842375841251	-0.128950727705211	0.308532405312275	0.44460344826783	NA
USP44	15.3537912891209	0.00985678267887597	0.366095900116833	0.863835209116596	NA
USP45	95.7383493298119	-0.292713726345244	0.338652941958927	0.0400448119010996	NA
USP46	745.01594695098	-0.323879770890075	0.241693846264995	0.0757091532735691	0.226656414905081
USP47	1321.5200380791	0.0711114948893712	0.23997294850255	0.695968391365082	0.814720932326233
USP48	1128.43244860666	-0.0288889906942614	0.234079834711631	0.872951968120172	0.9272674016795
USP49	3.51940158957835	-0.0297936453085096	0.369455480970409	0.47250216183202	NA
USP5	7340.40116449455	0.0443098060713445	0.164592608069367	0.763419527616865	0.859628598707538
USP51	409.367223060435	-0.259541443966036	0.254139995101001	0.158201655536402	NA
USP53	316.263313406543	-0.182420262061322	0.270035736811454	0.320465457253678	NA
USP54	264.7663865552	-0.342512441363812	0.274219515460923	0.0615987847124163	NA
USP6	17.2342531537752	0.0594808081676044	0.357588858975992	0.516562184131025	NA
USP6NL	575.262556030775	-0.203590093025011	0.270818260285137	0.267319821592405	0.463741005534223
USP7	2548.99409205062	-0.0942257058278351	0.217439915172128	0.591222105014615	0.74315309831481
USP8	735.771930075994	-0.018864752266497	0.23845395197995	0.917293458003215	0.95418976993405
USP9X	3276.69533449651	-0.268515842082854	0.227985605649767	0.133612361895642	0.3131876960258
USPL1	390.061121658997	0.0311719661238592	0.2424784776633	0.864338170797939	NA
UST	868.824888196227	-0.112527862252917	0.218684147532629	0.522366762717645	0.689420595650419
UTP11L	1754.84047599165	0.0146981493767092	0.205512637488331	0.93129939201506	0.960050449317458
UTP14A	414.807154500611	0.412436702406182	0.243682304539323	0.0240075417785916	NA
UTP14C	575.48141572378	-0.260362930914531	0.278358206461813	0.153376862677233	0.338457081368289
UTP15	409.894539409914	-0.30359025007556	0.284065427027484	0.093568208923519	NA
UTP18	1920.18466322363	0.0747355958887029	0.181390570893291	0.635837294127766	0.774630136316103
UTP20	387.024505759529	-0.177801804685621	0.264734981852619	0.333933654909901	NA
UTP23	481.604343036487	-0.109252081028309	0.256923782033158	0.552731731077785	NA
UTP3	1038.19245657043	0.289254977485055	0.240535801728776	0.112226675921239	0.28286654146017
UTP6	1536.62440979994	0.0750465179160736	0.191682211660003	0.646501311226487	0.782512245098973
UTRN	1817.33421747201	0.0453610621546855	0.257451005737669	0.805314214605276	0.885800419096988
UTS2D	20.039371991689	-0.100853324198841	0.358040195687238	0.279676351075542	NA
UTY	4.90647360489033	0.00689838214965927	0.365382255338509	0.909646628919372	NA
UVRAG	826.516160193816	-0.0893082144413401	0.223681733723405	0.615152687633642	0.760798443809934
UXS1	3344.70125074027	0.0833259281458548	0.173416542158833	0.585909844243833	0.738252056519484
UXT	4579.94149320301	0.39679236972715	0.226821592257699	0.0263664438107591	0.136374556898421
VAC14	3961.18877917148	0.301631767797111	0.199728507378893	0.0721866858338817	0.221304722298238
VAMP1	11.912784816991	-0.0397055069488281	0.362922567318023	0.584996322572582	NA
VAMP2	1827.08050478947	0.0601969593432877	0.197810505936213	0.718198517604552	0.829814742546339
VAMP3	10683.6793128931	0.0918724044607373	0.167233099334903	0.537414752504899	0.701629790174673
VAMP4	508.582081515331	-0.188675396950957	0.248315297256751	0.303436929694544	NA
VAMP5	215.206705898304	0.303408110266066	0.301987905618844	0.0805959406146164	NA
VAMP7	1442.38002214221	-0.453614410901523	0.24310310113864	0.0130117542392134	0.0946704793114916
VAMP8	7898.27497857319	0.56259147493262	0.257600367760108	0.00229349729933448	0.0432015500903484
VANGL1	1699.34299694485	-0.38163397893853	0.201672822378753	0.0236907278318264	0.129818561741393
VANGL2	1703.7809197832	-0.233044387771063	0.230379851906931	0.194672223021788	0.38736707455529
VAPA	6550.95781701829	-0.353178825129046	0.183276388872927	0.0262700435521875	0.136116938359677
VAPB	2489.40979363039	-0.153193100739117	0.18485994533602	0.337875704262787	0.532396826378398
VARS	6443.70474030472	0.0245722576978867	0.180297056528247	0.875769916212001	0.928866405346066
VARS2	990.532069275938	0.019409912075426	0.233817074907005	0.914408744818598	0.953016697230991
